,gates,gates,gates,may,may,may,buri,buri,buri,usgs,usgs,usgs,coop,coop,coop
,TMIN,TAVG,TMAX,TMIN,TAVG,TMAX,TMIN,TAVG,TMAX,TMIN,TAVG,TMAX,TMAX,TMIN,TAVG
DATE,,,,,,,,,,,,,,,
2016-01-01 00:00:00-09:00,-4.500000000000001,-1.430555555555556,1.6111111111111105,-3.8888888888888893,-0.9953703703703703,2.7777777777777777,,,,,,,,,
2016-01-02 00:00:00-09:00,-6.222222222222222,-3.9652777777777786,1.5000000000000016,-11.666666666666668,-5.185185185185185,0.0,,,,,,,,,
2016-01-03 00:00:00-09:00,-6.888888888888888,-5.541666666666665,-3.777777777777778,-16.11111111111111,-12.013888888888891,-5.0,,,,,,,,,
2016-01-04 00:00:00-09:00,-3.8888888888888893,-1.1898148148148147,1.6666666666666667,-17.77777777777778,-15.0,-11.666666666666668,,,,,,,,,
2016-01-05 00:00:00-09:00,-5.0,-1.081018518518519,1.833333333333332,-23.883333333333336,-21.503032407407414,-18.33277777777778,,,,,,,,,
2016-01-06 00:00:00-09:00,-6.611111111111111,-5.402777777777779,-3.722222222222222,-24.43888888888889,-19.39574074074074,-11.11111111111111,,,,,,,,,
2016-01-07 00:00:00-09:00,-6.4444444444444455,-5.409722222222221,-4.722222222222222,-22.777222222222225,-19.189467592592592,-13.88888888888889,,,,,,,,,
2016-01-08 00:00:00-09:00,-5.277777777777778,-3.4513888888888893,-1.9444444444444446,-19.443888888888893,-16.272986111111113,-12.777777777777779,,,,,,,,,
2016-01-09 00:00:00-09:00,-4.500000000000001,-2.1203703703703702,-0.2777777777777778,-18.33277777777778,-14.421203703703698,-10.0,,,,,,,,,
2016-01-10 00:00:00-09:00,-4.722222222222222,-2.606481481481482,0.777777777777777,-10.0,-8.981481481481481,-7.222222222222222,,,,,,,,,
2016-01-11 00:00:00-09:00,-4.777777777777779,-1.2361111111111114,2.8333333333333344,-10.0,-7.26851851851852,-3.8888888888888893,,,,,,,,,
2016-01-12 00:00:00-09:00,-6.944444444444445,-3.0972222222222228,-1.3333333333333326,-10.555555555555555,-8.72685185185185,-6.666666666666667,,,,,,,,,
2016-01-13 00:00:00-09:00,-7.444444444444444,-4.953703703703703,-3.722222222222222,-11.11111111111111,-9.35185185185185,-6.666666666666667,,,,,,,,,
2016-01-14 00:00:00-09:00,-5.722222222222223,-5.039351851851852,-4.222222222222223,-11.11111111111111,-9.259259259259258,-7.777777777777779,,,,,,,,,
2016-01-15 00:00:00-09:00,-8.61111111111111,-7.282407407407407,-5.833333333333334,-13.88888888888889,-12.314814814814817,-9.444444444444445,,,,,,,,,
2016-01-16 00:00:00-09:00,-12.111111111111112,-7.395833333333335,-2.5,-23.883333333333336,-19.25828703703704,-13.333333333333334,,,,,,,,,
2016-01-17 00:00:00-09:00,-9.777777777777779,-5.256944444444445,-2.166666666666666,-24.43888888888889,-20.623912037037037,-16.11111111111111,,,,,,,,,
2016-01-18 00:00:00-09:00,-9.666666666666666,-4.402777777777777,0.05555555555555635,-23.883333333333336,-20.994259259259263,-16.11111111111111,,,,,,,,,
2016-01-19 00:00:00-09:00,-7.555555555555556,-5.229166666666667,-2.5555555555555562,-25.55,-23.14469907407408,-17.77777777777778,,,,,,,,,
2016-01-20 00:00:00-09:00,-7.611111111111111,-4.634259259259259,-3.444444444444444,-25.55,-21.339861111111116,-13.88888888888889,,,,,,,,,
2016-01-21 00:00:00-09:00,-11.166666666666668,-8.3125,-4.777777777777779,-23.883333333333336,-20.461087962962967,-14.444444444444445,,,,,,,,,
2016-01-22 00:00:00-09:00,-11.555555555555557,-5.564814814814816,-2.000000000000001,-19.443888888888893,-15.36217391304348,-8.88888888888889,,,,,,,,,
2016-01-23 00:00:00-09:00,-4.833333333333333,-3.2060185185185186,-1.3333333333333326,-13.88888888888889,-9.166666666666668,-1.6666666666666667,,,,,,,,,
2016-01-24 00:00:00-09:00,-4.666666666666666,-2.659722222222222,-1.1111111111111112,-11.666666666666668,-7.500000000000001,-2.2222222222222223,,,,,,,,,
2016-01-25 00:00:00-09:00,-2.6111111111111107,-0.8981481481481483,0.6666666666666683,-7.222222222222222,-5.254629629629631,-1.6666666666666667,,,,,,,,,
2016-01-26 00:00:00-09:00,-4.388888888888888,-2.9212962962962963,-0.44444444444444486,-9.444444444444445,-1.7361111111111114,3.8888888888888893,,,,,,,,,
2016-01-27 00:00:00-09:00,-2.333333333333333,-0.07175925925925913,2.333333333333335,-6.666666666666667,-2.9398148148148144,2.2222222222222223,,,,,,,,,
2016-01-28 00:00:00-09:00,-2.1111111111111116,-0.10185185185185179,1.1666666666666674,-6.666666666666667,-3.63425925925926,0.0,,,,,,,,,
2016-01-29 00:00:00-09:00,-5.222222222222221,-3.657407407407408,-1.9444444444444446,-4.444444444444445,-2.7314814814814814,-1.6666666666666667,,,,,,,,,
2016-01-30 00:00:00-09:00,-10.777777777777777,-7.597222222222222,-5.055555555555556,-16.11111111111111,-8.726851851851853,-3.8888888888888893,,,,,,,,,
2016-01-31 00:00:00-09:00,-12.5,-10.118055555555557,-7.611111111111111,-26.105555555555558,-20.969722222222224,-10.555555555555555,,,,,,,,,
2016-02-01 00:00:00-09:00,-10.38888888888889,-8.974537037037036,-8.055555555555555,-19.999444444444446,-13.333287037037037,-9.444444444444445,,,,,,,,,
2016-02-02 00:00:00-09:00,-9.666666666666666,-7.502314814814816,-5.222222222222221,-25.55,-20.229652777777776,-13.88888888888889,,,,,,,,,
2016-02-03 00:00:00-09:00,-7.5,-5.164351851851852,-3.111111111111112,-20.555000000000003,-16.36553240740741,-9.444444444444445,,,,,,,,,
2016-02-04 00:00:00-09:00,-3.722222222222222,-2.3935185185185186,0.1111111111111127,-19.443888888888893,-13.101666666666667,-0.5555555555555556,,,,,,,,,
2016-02-05 00:00:00-09:00,-7.388888888888889,-4.956018518518518,-3.055555555555556,-12.222222222222223,-8.425925925925927,-1.6666666666666667,,,,,,,,,
2016-02-06 00:00:00-09:00,-7.388888888888889,-6.414351851851852,-5.277777777777778,-17.77777777777778,-11.643518518518519,-4.444444444444445,,,,,,,,,
2016-02-07 00:00:00-09:00,-8.555555555555555,-5.685185185185184,-3.555555555555555,-15.0,-11.75925925925926,-2.7777777777777777,,,,,,,,,
2016-02-08 00:00:00-09:00,-7.333333333333333,-4.046296296296296,-2.166666666666666,-16.11111111111111,-11.365740740740746,-1.1111111111111112,,,,,,,,,
2016-02-09 00:00:00-09:00,-8.444444444444445,-5.849537037037037,-2.6111111111111107,-18.888333333333335,-12.199004629629627,-6.111111111111112,,,,,,,,,
2016-02-10 00:00:00-09:00,-10.5,-4.731481481481482,1.3333333333333326,-14.444444444444445,-7.7777777777777795,1.6666666666666667,,,,,,,,,
